Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;esrb_rating
Elden Ring;Feb 25, 2022;['FromSoftware', 'Bandai Namco Entertainment'];Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series'];['Adventure', 'RPG'];4.5;21K;
The Legend of Zelda: Breath of the Wild;Mar 03, 2017;['Nintendo', 'Nintendo EPD Production Group No. 3'];The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.;['Wii U', 'Nintendo Switch'];['Adventure', 'Puzzle'];4.4;35K;Everyone 10+
Hades;Dec 07, 2018;['Supergiant Games'];A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants.;['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'Brawler', 'Indie', 'RPG'];4.3;25K;Rating Pending
Hollow Knight;Feb 24, 2017;['Team Cherry'];A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.;['Windows PC', 'Mac', 'Linux', 'Nintendo Switch'];['Adventure', 'Indie', 'Platform'];4.4;25K;Everyone 10+
Undertale;Sep 15, 2015;['tobyfox', '8-4'];A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics.;['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch'];['Adventure', 'Indie', 'RPG', 'Turn Based Strategy'];4.2;32K;Rating Pending
Minecraft;Nov 18, 2011;['Mojang Studios'];Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.;['Windows PC', 'Mac', 'Linux'];['Adventure', 'Simulator'];4.3;38K;
Omori;Dec 25, 2020;['OMOCAT', 'PLAYISM'];A turn-based surreal horror RPG in which a child traverses various mundane, quirky, humourous, mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears. Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.;['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'Indie', 'RPG', 'Turn Based Strategy'];4.1;8.7K;
The Legend of Zelda: Tears of the Kingdom;May 12, 2023;['Nintendo'];The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule.;['Nintendo Switch'];['Adventure'];4.6;4.3K;
Resident Evil 4;Mar 24, 2023;['Capcom', 'Capcom Development Division 1'];Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline, /n and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect.;['Windows PC', 'PlayStation 4', 'PlayStation 5', 'Xbox Series'];['Adventure', 'Puzzle', 'Shooter'];4.6;6.1K;Mature
NieR: Automata;Feb 23, 2017;['PlatinumGames', 'Square Enix'];NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.;['Windows PC', 'PlayStation 4'];['Brawler', 'RPG'];4.3;20K;
Persona 5 Royal;Oct 31, 2019;['Atlus USA', 'Atlus'];An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.;['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Adventure', 'RPG', 'Turn Based Strategy'];4.4;15K;Mature
Among Us;Jun 15, 2018;['Innersloth'];Play with 4-15 player online or via local WiFi as you attempt to prepare your spaceship for departure, but beware as one or more random players among the Crew are Impostors bent on killing everyone! /n Originally created as a party game, we recommend playing with friends at a LAN party or online using voice chat. Enjoy cross-platform play between Android, iOS, PC, and console.;['Windows PC', 'Android', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series'];['Indie', 'Strategy'];3.0;29K;Everyone 10+
Metroid Dread;Oct 07, 2021;['Nintendo', 'MercurySteam'];Join intergalactic bounty hunter Samus Aran in her first new 2D Metroid story in 19 years. Samus’ story continues after the events of the Metroid Fusion game when she descends upon planet ZDR to investigate a mysterious transmission sent to the Galactic Federation. The remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces. Samus is more agile and capable than ever, but can she overcome the inhuman threat stalking the depths of ZDR?;['Nintendo Switch'];['Adventure', 'Platform'];4.2;10K;
Portal 2;Apr 18, 2011;['Electronic Arts', 'Valve'];Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.;['Windows PC', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 3'];['Adventure', 'Platform', 'Puzzle', 'Shooter'];4.4;34K;Everyone 10+
God of War;Apr 20, 2018;['Sony Interactive Entertainment', 'SIE Santa Monica Studio'];God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.;['Windows PC', 'PlayStation 4'];['Adventure', 'Brawler', 'RPG'];4.2;25K;Mature
Hi-Fi Rush;Jan 25, 2023;['Bethesda Softworks', 'Tango Gameworks'];As wannabe rockstar Chai, you’ll fight back against a sinister robotics enhancement conglomerate using rhythm-amplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music.;['Windows PC', 'Xbox Series'];['Adventure', 'Brawler', 'Music', 'Platform'];4.3;4.7K;
Celeste;Jan 25, 2018;['Maddy Makes Games', 'Extremely OK Games'];Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.;['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Google Stadia'];['Adventure', 'Indie', 'Platform'];4.2;23K;Everyone 10+
Bloodborne;Mar 24, 2015;['FromSoftware', 'Sony Computer Entertainment'];"An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries.";['PlayStation 4'];['Adventure', 'RPG'];4.5;20K;Mature
Stray;Jul 19, 2022;['Annapurna Interactive', 'BlueTwelve Studio'];Lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find the way home.;['Windows PC', 'Mac', 'PlayStation 4', 'PlayStation 5'];['Adventure', 'Indie'];3.7;9.7K;
Yakuza 0;Mar 12, 2015;['Ryū Ga Gotoku Studios', 'Sega'];The glitz, glamour, and unbridled decadence of the 80s are back! Yakuza 0 is a prequel set in 1988 to the Yakuza series, taking place before the first game. Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his “normal” life as the proprietor of a cabaret club.;['Windows PC', 'PlayStation 4', 'PlayStation 3', 'Xbox One'];['Adventure', 'Brawler', 'RPG', 'Simulator'];4.4;17K;Mature
Red Dead Redemption 2;Oct 26, 2018;['Take-Two Interactive', 'Rockstar Games'];Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age.;['Windows PC', 'PlayStation 4', 'Xbox One', 'Google Stadia'];['Adventure', 'RPG', 'Shooter'];4.4;22K;Mature
Super Mario Odyssey;Oct 27, 2017;['Nintendo'];Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!;['Nintendo Switch'];['Adventure', 'Platform'];4.2;29K;Everyone 10+
Portal;Oct 10, 2007;['Electronic Arts', 'Valve'];Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.;['Windows PC', 'Android', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 3'];['Platform', 'Puzzle', 'Shooter'];4.1;32K;Teen
Grand Theft Auto V;Sep 17, 2013;['Rockstar North', 'Rockstar Games'];Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.;['Windows PC', 'Xbox 360', 'PlayStation 4', 'PlayStation 3', 'Xbox One'];['Adventure', 'Shooter'];3.8;35K;Mature
Metal Gear Rising: Revengeance;Feb 19, 2013;['Konami', 'PlatinumGames'];"Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path! /n A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment. /n This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja. /n ""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes. /n ""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes. /n Menu option added to the CHAPTER Menu enabling user to play only the Boss battles. /n ""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc. /n There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make.";['Windows PC', 'Mac', 'Xbox 360', 'PlayStation 3'];['Adventure', 'Brawler', 'Shooter', 'Strategy'];4.1;17K;
